date,value
2016-05-09,131958
2016-05-10,156867
2016-05-11,141932
2016-05-12,113694
2016-05-13,129879
2016-05-14,120268
2016-05-15,64886
2016-05-16,147337
2016-05-17,178266
2016-05-18,97498
2016-05-19,122727
2016-05-20,136324
2016-05-21,26023
2016-05-22,51090
2016-05-23,77221
2016-05-24,74820
2016-05-25,10769
2016-05-26,69735
2016-05-27,74925
2016-05-28,15311
2016-05-29,113355
2016-05-30,95305
2016-05-31,169765
2016-06-01,140608
2016-06-02,166730
2016-06-03,94478
2016-06-04,132537
2016-06-05,159503
2016-06-06,140523
2016-06-07,12747
2016-06-08,133855
2016-06-09,75725
2016-06-10,139981
2016-06-11,94654
2016-06-12,176845
2016-06-13,129346
2016-06-14,77435
2016-06-15,66886
2016-06-16,76803
2016-06-17,41551
2016-06-18,126216
2016-06-19,21394
2016-06-20,79092
2016-06-21,13890
2016-06-22,51606
2016-06-23,97313
2016-06-24,151699
2016-06-25,18792
2016-06-26,164969
2016-06-27,78148
2016-06-28,134243
2016-06-29,130174
2016-06-30,164555
2016-07-01,134358
2016-07-02,58555
2016-07-03,27159
2016-07-04,120510
2016-07-05,116530
2016-07-06,90077
2016-07-07,45920
2016-07-08,29457
2016-07-09,88953
2016-07-10,62995
2016-07-11,19692
2016-07-12,47065
2016-07-13,109299
2016-07-14,173678
2016-07-15,21534
2016-07-16,50397
2016-07-17,101387
2016-07-18,11016
2016-07-19,65591
2016-07-20,33247
2016-07-21,34300
2016-07-22,92798
2016-07-23,19268
2016-07-24,96807
2016-07-25,22185
2016-07-26,149643
2016-07-27,48044
2016-07-28,61214
2016-07-29,124752
2016-07-30,58984
2016-07-31,50774
2016-08-01,12568
2016-08-02,130151
2016-08-03,143767
2016-08-04,134375
2016-08-05,146330
2016-08-06,49504
2016-08-07,174231
2016-08-08,23986
2016-08-09,71858
2016-08-10,139312
2016-08-11,22666
2016-08-12,48660
2016-08-13,144633
2016-08-14,36854
2016-08-15,74505
2016-08-16,114488
2016-08-17,32662
2016-08-18,18392
2016-08-19,40535
2016-08-20,123569
2016-08-21,62256
2016-08-22,99135
2016-08-23,137478
2016-08-24,45222
2016-08-25,87373
2016-08-26,133684
2016-08-27,20965
2016-08-28,34538
2016-08-29,118066
2016-08-30,123252
2016-08-31,149182
2016-09-01,168338
2016-09-02,108806
2016-09-03,147982
2016-09-04,120989
2016-09-05,100982
2016-09-06,131626
2016-09-07,129176
2016-09-08,141278
2016-09-09,132409
2016-09-10,33419
2016-09-11,60015
2016-09-12,132096
2016-09-13,117059
2016-09-14,120687
2016-09-15,97939
2016-09-16,159213
2016-09-17,115878
2016-09-18,174899
2016-09-19,72623
2016-09-20,85450
2016-09-21,103426
2016-09-22,127845
2016-09-23,163371
2016-09-24,53585
2016-09-25,119225
2016-09-26,74044
2016-09-27,119556
2016-09-28,12693
2016-09-29,105259
2016-09-30,35939
2016-10-01,162906
2016-10-02,28047
2016-10-03,36105
2016-10-04,85766
